,anio,municipio_nombre,municipio_id,sexo,intervalo_peso,nacidos_cantidad,centroide_lat,centroide_lon
218,2014,Coronel Dorrego,06189,Masculino,3000-3499,65,-38.670481146508,-61.0956539726774
219,2014,Coronel Dorrego,06189,Masculino,3500 y más,42,-38.670481146508,-61.0956539726774
220,2014,Coronel Dorrego,06189,Masculino,Ignorado,1,-38.670481146508,-61.0956539726774
221,2014,Coronel Pringles,06196,Masculino,1000-1499,1,-38.1477437843902,-61.2646589620305
222,2014,Coronel Pringles,06196,Masculino,1500-1999,2,-38.1477437843902,-61.2646589620305
223,2014,Coronel Pringles,06196,Masculino,2000-2499,12,-38.1477437843902,-61.2646589620305
224,2014,Coronel Pringles,06196,Masculino,2500-2999,45,-38.1477437843902,-61.2646589620305
225,2014,Coronel Pringles,06196,Masculino,3000-3499,80,-38.1477437843902,-61.2646589620305
226,2014,Coronel Pringles,06196,Masculino,3500 y más,55,-38.1477437843902,-61.2646589620305
227,2014,Coronel Pringles,06196,Masculino,Ignorado,4,-38.1477437843902,-61.2646589620305
228,2014,Coronel Suárez,06203,Masculino,1000-1499,2,-37.5325532169014,-61.8893137767698
229,2014,Coronel Suárez,06203,Masculino,1500-1999,3,-37.5325532169014,-61.8893137767698
230,2014,Coronel Suárez,06203,Masculino,2000-2499,13,-37.5325532169014,-61.8893137767698
231,2014,Coronel Suárez,06203,Masculino,2500-2999,49,-37.5325532169014,-61.8893137767698
232,2014,Coronel Suárez,06203,Masculino,3000-3499,120,-37.5325532169014,-61.8893137767698
233,2014,Coronel Suárez,06203,Masculino,3500 y más,105,-37.5325532169014,-61.8893137767698
234,2014,Coronel Suárez,06203,Masculino,500-999,1,-37.5325532169014,-61.8893137767698
235,2014,Coronel Suárez,06203,Masculino,Ignorado,37,-37.5325532169014,-61.8893137767698
236,2014,Daireaux,06231,Masculino,1500-1999,2,-36.6405459243249,-61.891417127905
237,2014,Daireaux,06231,Masculino,2000-2499,4,-36.6405459243249,-61.891417127905
238,2014,Daireaux,06231,Masculino,2500-2999,24,-36.6405459243249,-61.891417127905
239,2014,Daireaux,06231,Masculino,3000-3499,58,-36.6405459243249,-61.891417127905
240,2014,Daireaux,06231,Masculino,3500 y más,45,-36.6405459243249,-61.891417127905
241,2014,Daireaux,06231,Masculino,500-999,1,-36.6405459243249,-61.891417127905
242,2014,Daireaux,06231,Masculino,Ignorado,1,-36.6405459243249,-61.891417127905
